Actual Spoken Hook,Spoken Hook Framework,Spoken Hook Structure,Visual Hook | Graphic Selection,Visual Hook | Visual Movemen,Visual Hook | Layout Structrure,Text Hook | Word Structure,Text Hook | Layout,Text Hook | Motion,Audio Hook | Structure,Audio Hook | Specifics,Video Link,Niche,Content Type,Performance (out of top 10 on channel),Views
"This is how you shoot content in 2025. And yeah, that's AI.","This is how you [X action] in [Y year]. And yeah, that's [Z]",Secret Reveal,Example Videos,"B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/ohneis652/reel/DJ2PQoqiHfe/,Content Marketing,Education,2,"920,567"
Why do most AI videos look fake? Because they don't know how to sparkle like this.,Why do most [X] look [Y quality]? Because they don't know how to [Z technique],Secret Reveal,Example Videos,"B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/ohneis652/reel/DJHZVtavCXr/,Content Marketing,Education,3,"644,518"
This looks like a 10k camera setup. It's not. It's just one really dirty prompt.,This looks like [X expensive thing]. It's not. It's just [Y simple truth],Secret Reveal,Example Videos,"B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/ohneis652/reel/DI7XHHfzxKi/,Content Marketing,Education,4,"638,717"
Why is the grass always greener on the other side? Because it's fake. It's AR.,[X common saying]? Because [Y truth]. It's [Z],Secret Reveal,Example Videos,"B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/ohneis652/reel/DIv_SNAPRHT/,Content Marketing,Education,5,"602,285"
"Most AI architecture looks like a cheap render. This, this feels like you could walk into it.","Most [X category] looks like [Y quality]. This, this feels like [Z better quality]",Secret Reveal,Example Videos,"B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/ohneis652/reel/DJCTsDzPJQ_/,Content Marketing,Education,6,"539,398"
Why do most furniture brands still use product shots that look like stock photos from 2009?,Why do most [X industry] still use [Y outdated practice]?,Secret Reveal,Example Videos,"B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/ohneis652/reel/DJRviKhiLJS/,Content Marketing,Education,7,"374,633"
"Someone hired me to create visuals for their running brand, but we didn't show the product once, because that's not what makes people stop scrolling. What works is the feeling.","Someone hired me to [X task], but we didn't [Y expected approach], because that's not what [Z desired outcome]. What works is [better approach]",Secret Reveal,"Example Videos, Image Screenshots","B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/ohneis652/reel/DI37gomvKsp/,Content Marketing,Education,8,"364,590"
"If this doesn't feel AI, it's because it isn't. It's design.","If this doesn't feel [X], it's because it isn't. It's [Y]",Secret Reveal,Example Videos,"B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/ohneis652/reel/DJ6-L8wCSC4/,Content Marketing,Education,9,"360,469"
"If this looks real, it's not luck, it's prompt design, on purpose.","If this looks [X quality], it's not luck, it's [Y skill], on purpose",Secret Reveal,Example Videos,"B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/ohneis652/reel/DJ9NGZKi59w/,Content Marketing,Education,10,"333,980"
"Look at this freaking thing right here. New trend alert, new trend alert.",Look at [X thing]. [Y excited declaration],Educational/Tutorial,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/thekoerneroffice/reel/DEghUnlSEiL/,Content Marketing,Education,1,"10,565,246"
"Look at this freaking thing right here, this is the most genius business idea I've seen this year.",Look at [X thing].. This is the most [X superlative] [Y category] I've seen [Z time period],Raw Shock,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/thekoerneroffice/reel/DGW1pDEy90m/,Content Marketing,Education,2,"6,478,994"
"I'm sorry, but this has gotta be a cash cow.","I'm sorry, but this has gotta be a [X metaphor]",Contrarian/Negative,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/thekoerneroffice/reel/DJLDpJXxrXf/,Content Marketing,Education,3,"3,657,103"
Look at this friggin thing right here. Here's what I love and what I hate about this side hustle.,Look at [X thing]. Here's what I love and what I hate about [X],Educational/Tutorial,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/thekoerneroffice/reel/DIcmyALScrT/,Content Marketing,Education,4,"1,692,695"
"Look at this friggin' thing right here. You're gonna think I'm an idiot for suggesting this, but hear me out.","Look at [X thing]. You're gonna think I'm [Y self-insult], but hear me out",Educational/Tutorial,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/thekoerneroffice/reel/DI1oWReSN7V/,Content Marketing,Education,5,"1,654,599"
Look at this frickin' thing right here. You know why I love this video?,Look at [X thing]. You know why I love [X]?,Educational/Tutorial,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/thekoerneroffice/reel/DJritwIyuy-/,Content Marketing,Education,6,"1,532,561"
Did you know that anyone on the planet can go find your local sod supplier and buy a whole pallet full of sod for $220?,Did you know that anyone on the planet can [X accessible action] for [Y price]?,Question,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/thekoerneroffice/reel/DJSllwXTJD1/,Content Marketing,Education,7,"1,412,040"
Look at this freaking thing right here. Here's exactly how to launch the easiest six figure business you've never heard of in only two steps.,Look at [X thing]. Here's exactly how to [Y achieve result] you've never heard of in only [Z number] steps,Educational/Tutorial,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/thekoerneroffice/reel/DGhMzJmyxLB/,Content Marketing,Education,8,"1,089,418"
Would you look at this freaking guy right here? What won't we 3D print next?,Would you look at [X thing] right here? What won't we [Y action] next?,Question,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/thekoerneroffice/reel/DIje5P2SKS3/,Content Marketing,Education,9,"972,407"
Look at this freaking thing right here. Holy genius business idea.,Look at [X thing]. [Y adjective] [Z category],Raw Shock,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/thekoerneroffice/reel/DJFaD6-zrLd/,Content Marketing,Education,10,"949,920"
"These three brothers made billions just by copying ideas, and they never went to jail, and you'll see why.","These [X people] made [Y amount] just by [Z controversial method], and they never [consequence], and you'll see why",Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Light Classical Music,https://www.instagram.com/codiesanchez/reel/DJC3dZ_TLxK/,Content Marketing,Education,1,"4,059,673"
Red flag alert. You do not want to work somewhere they call you family.,Red flag alert. You do not want to [X action] where [Y warning sign],Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,SFX only,Alarm SFX,https://www.instagram.com/codiesanchez/reel/DHglsNAJDIO/,Content Marketing,Education,2,"2,143,479"
"As women hit middle age, we look better with a little bit of fat.","As [X group] hit [Y life stage], we [Z counterintuitive truth]",Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/codiesanchez/reel/DH1ueSgT_Lf/,Content Marketing,Education,3,"1,959,737"
Is there any way for money to buy you happiness?,Is there any way for [X] to [Y achieve goal]?,Question,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/codiesanchez/reel/DIE30Q0RvFq/,Content Marketing,Education,4,"1,590,413"
"What happens when you hang out in rooms with other people who have way more zeros is your problems are so small to them, often they can see into your future.",What happens when you [X situation] is [Y unexpected insight],Fortuneteller,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/codiesanchez/reel/DIy_L4mvpiI/,Content Marketing,Education,5,"1,558,897"
"Before I got married, my mom asked me how I knew Elizabeth, my wife, was the one.","Before I [X life event], [Y person] asked me how I knew [Z personal detail]",Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/codiesanchez/reel/DHrUYVDTWdM/,Content Marketing,Education,6,"1,390,275"
One of my favorite mentors told me a line that changed my life.,One of my favorite [X people] told me a line that changed my life,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/codiesanchez/reel/DIj947pzJAD/,Content Marketing,Education,10,"993,938"
Rating brands' marketing as high status or low status - running shoes.,Rating [X category]'s [Y aspect] as [Z status] or [status] - [niche],Educational/Tutorial,"Creator A-Roll, Image Screenshots",A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/brian_blum/reel/DEdxtQgNWFA/,Content Marketing,Education,1,"1,740,325"
This coffee brand sold out six months of inventory in just 28 minutes.,This [X type] brand sold out [Y amount] of inventory in just [Z time],Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/brian_blum/reel/DFrHCuhtx12/,Content Marketing,Education,2,"1,386,527"
This is 2Jeys $30 million content strategy.,This is [X company's] $[Y amount] [Z strategy],Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/brian_blum/reel/DEgYOH7tvcR/,Content Marketing,Education,3,"1,193,651"
"This girl sold over $100,000 of matcha in under 45 minutes.",This [X person] sold over $[Y amount] of [Z product] in under [time],Secret Reveal,"Creator A-Roll, Image Screenshots, Subject in B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/brian_blum/reel/DGwq98PNVHb/,Content Marketing,Education,4,"1,030,616"
"Drake's new album just changed the music industry forever, but it has nothing to do with his actual song.","[X celebrity's] new [Y work] just changed the [Z industry] forever, but it has nothing to do with [expected thing]",Contrarian/Negative,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/brian_blum/reel/DGuGzoGN9pm/,Content Marketing,Education,5,"980,440"
This 25-year-old built a $50 million fashion empire without spending a dime on ads.,This [X age]-year-old built a $[Y amount] [Z type] empire without [expected expense],Raw Shock,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/brian_blum/reel/DHFMlSLtKzl/,Content Marketing,Education,6,"782,315"
Drewski just pulled off one of the greatest marketing campaigns of all time.,[X person] just pulled off one of the greatest [Y achievement] of all time,Raw Shock,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/brian_blum/reel/DISSSJoyiyf/,Content Marketing,Education,7,"766,969"
What are some of these rich versus poor habits?,What are some of these [X] versus [Y] habits?,Question,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/brian_blum/reel/DBg7LLOvOGa/,Content Marketing,Education,8,"596,865"
